n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1063323,1572864,450,0,450,3,312,59192160,0.058648,11,20,1,1
64,2,0,7596423,1572864,3096,0,3345,3,3192,278901120,0.08556,11,20,1,1
64,3,0,24676434,1572864,18036,0,19035,3,20712,751735944,0.197542,11,20,1,1
64,4,0,57380388,1572864,50301,0,52005,3,61392,1631002680,0.45594,11,20,1,1
32,5,0,15423543,196608,402219,0,412218,3,505416,418712112,0.40566,11,20,1,1
32,6,0,26275335,196608,1021446,0,1038837,3,1308456,701175216,1.14156,11,20,1,1
