n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,8260608,262144,6741,0,10575,81,930,208361896,0.05856,11,20,1,1
64,2,0,27879552,262144,28575,0,41808,192,6822,679527848,0.110572,11,20,1,1
64,3,0,66084864,262144,79749,0,98085,375,19158,1597061544,0.28278,11,20,1,1
64,4,0,129072000,262144,167553,0,198828,648,43842,3109752232,0.58436,11,20,1,1
64,5,0,223036416,262144,313965,0,363153,1029,87174,5366389160,1.03102,11,20,1,1
64,6,0,354173568,262144,540747,0,613632,1536,156750,8515761576,1.79012,11,20,1,1
