n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1062981,1572864,36,0,36,0,24,67685576,0.0168332,156,1,4,1
64,2,0,7596771,1572864,6524,0,7126,0,3612,339681416,0.20424000000000003,169,3,10,14
64,3,0,24680367,1572864,92000,0,97375,0,62250,949271048,2.2082,169,3,20,125
64,4,0,57392664,1572864,391363,0,406112,0,294294,2090436392,7.7194,169,3,35,343
32,5,0,15411693,196608,1245132,0,1276479,0,992898,541719608,3.0431999999999997,169,3,56,729
32,6,0,26256645,196608,3279584,0,3336817,0,2707254,910778168,4.9844,169,3,84,1331
