n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,932403,1572864,36,0,36,0,24,55002720,0.012953000000000001,60,1,4,1
64,2,0,6967206,1572864,864,0,976,0,600,262752552,0.068058,67,3,10,4
64,3,0,22987707,1572864,5544,0,5936,0,4200,710159136,0.27749999999999997,67,3,20,14
64,4,0,53877177,1572864,15984,0,16656,0,12600,1545878256,1.30606,67,3,35,24
32,5,0,13782834,196608,130500,0,134000,0,105000,379052352,0.73176,67,3,56,125
32,6,0,23614722,196608,334368,0,340416,0,272160,637037760,1.67402,67,3,84,216
