n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,4236767,8388608,15,0,24,0,27,270133976,0.0079158,5,2,3,3
2048,2,0,16887845,8388608,72,0,84,0,108,775086440,0.022476,7,3,6,6
1024,3,0,9537301,2097152,240,0,264,0,360,355056728,0.010451,7,3,10,12
1024,4,0,16935918,2097152,750,0,800,0,1125,574566576,0.0169764,7,3,15,25
512,5,0,6674387,524288,1512,0,1584,0,2268,214885112,0.0081478,7,3,21,36
512,6,0,9602081,524288,2744,0,2842,0,4116,299829832,0.0185612,7,3,28,49
