n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,50597346,8388608,141,0,156,3,180,1483889696,0.36378,11,20,1,1
2048,2,0,101194692,8388608,639,0,723,3,792,2798889296,0.4936,11,20,1,1
1024,3,0,42367120,2097152,1815,0,1992,3,2368,1143174464,0.17557,11,20,1,1
1024,4,0,63550680,2097152,5013,0,5394,3,6768,1693522944,0.31972,11,20,1,1
512,5,0,22461810,524288,13953,0,14805,3,19284,593872064,0.132388,11,20,1,1
512,6,0,29949080,524288,26115,0,27354,3,36784,788246608,0.20102000000000003,11,20,1,1
