n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8777916,4194304,289,0,388,9,16,210702752,0.031332,67,12,2,3
2048,2,0,34840888,4194304,912,0,1280,16,288,627784032,0.036806,61,7,3,4
2048,3,0,78188980,4194304,1985,0,2380,25,640,1321410848,0.13480399999999998,61,10,4,5
2048,4,0,138822192,4194304,3420,0,3984,36,1200,2291615968,0.46758,61,10,5,6
1024,5,0,55941804,1048576,5425,0,6188,49,2016,913567904,0.180282,61,10,6,7
1024,6,0,80474920,1048576,8096,0,9088,64,3136,1306151008,0.28062,61,10,7,8
