n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,408005,262144,1202,0,2196,27,40,19715312,0.010426399999999999,154,40,2,3
64,2,0,3000024,262144,4112,0,6800,64,432,82366136,0.022854,142,15,3,4
64,3,0,9837017,262144,10995,0,15210,125,1280,247060176,0.056316,130,21,4,5
64,4,0,22979912,262144,22656,0,29820,216,3000,563489080,0.167788,130,21,5,6
64,5,0,44489637,262144,41895,0,53144,343,6048,1081213424,0.30688,130,21,6,7
64,6,0,76427120,262144,71472,0,88128,512,10976,1849793784,0.53158,130,21,7,8
