n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8777916,4194304,1104,0,1552,16,144,351149920,0.117018,108,12,2,4
2048,2,0,34840888,4194304,3660,0,5160,36,936,1185238752,0.3709,108,7,3,6
2048,3,0,78188980,4194304,8416,0,10304,64,2048,2572435040,0.44404000000000005,108,10,4,8
2048,4,0,138822192,4194304,14940,0,17880,100,3800,4512771552,1.46214,108,10,5,10
1024,5,0,55941804,1048576,24096,0,28320,144,6336,1808637280,0.62276,108,10,6,12
1024,6,0,80474920,1048576,36316,0,42056,196,9800,2593750240,0.8514799999999999,108,10,7,14
