n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,4290606,4194304,66,0,129,0,36,137332160,0.0069966,20,7,2,3
2048,2,0,17092684,4194304,172,0,280,0,108,342239136,0.0167398,21,7,3,4
2048,3,0,38406250,4194304,405,0,525,0,240,683313536,0.031181999999999998,22,10,4,5
2048,4,0,68231304,4194304,720,0,888,0,450,1160588128,0.053468,22,10,5,6
1024,5,0,27069606,1048576,1169,0,1393,0,756,450825536,0.021772,22,10,6,7
1024,6,0,38959300,1048576,1776,0,2064,0,1176,641113888,0.033367999999999995,22,10,7,8
