n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1064115,262144,2151,0,3483,27,48,34182752,0.018190400000000002,235,34,2,3
64,2,0,7987680,262144,9408,0,13936,64,1296,200790680,0.041026,235,15,3,4
64,3,0,26382135,262144,26355,0,32695,125,3840,642863808,0.143358,193,21,4,5
64,4,0,61858872,262144,55440,0,66276,216,9000,1495304920,0.281,193,21,5,6
64,5,0,120029283,262144,103971,0,121051,343,18144,2892885728,0.49016000000000004,193,21,6,7
64,6,0,206504760,262144,179184,0,204544,512,32928,4970377944,0.8138799999999999,193,21,7,8
