n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8482860,4194304,181,0,340,9,16,271484288,0.058876,59,12,2,3
2048,2,0,33857608,4194304,720,0,1152,16,288,880551968,0.087936,57,7,3,4
2048,3,0,76124260,4194304,1685,0,2180,25,640,1895008960,0.2834,57,10,4,5
2048,4,0,135282816,4194304,2988,0,3696,36,1200,3314888032,0.93668,57,10,5,6
1024,5,0,53237916,1048576,4837,0,5796,49,2016,1295028224,0.35488,57,10,6,7
1024,6,0,76640440,1048576,7328,0,8576,64,3136,1856742048,0.5287,57,10,7,8
