n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,4236767,8388608,15,0,24,0,27,236239840,0.0068779999999999996,5,2,3,3
2048,2,0,16887845,8388608,72,0,84,0,108,639983680,0.020502,7,3,6,6
1024,3,0,9537301,2097152,240,0,264,0,360,278758320,0.0129922,7,3,10,12
1024,4,0,16935918,2097152,750,0,800,0,1125,439079232,0.02917,7,3,15,25
512,5,0,6674387,524288,1512,0,1584,0,2268,161490016,0.0137742,7,3,21,36
512,6,0,9602081,524288,2744,0,2842,0,4116,223013184,0.0152112,7,3,28,49
