n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,8260608,262144,3195,0,4092,27,147,208361896,0.071422,265,34,2,3
64,2,0,27879552,262144,11748,0,15664,64,1353,679527848,0.162638,244,15,3,4
64,3,0,66084864,262144,30891,0,36070,125,3897,1597061544,0.30942,202,21,4,5
64,4,0,129072000,262144,63252,0,72108,216,9057,3109752232,0.9390599999999999,202,21,5,6
64,5,0,223036416,262144,116355,0,130312,343,18201,5366389160,1.7471800000000002,202,21,6,7
64,6,0,354173568,262144,197652,0,218368,512,32985,8515761576,3.0758,202,21,7,8
