n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,354441,1572864,46,0,49,0,60,42178992,0.021840000000000002,14,3,4,4
64,2,0,2532141,1572864,294,0,317,0,432,157358352,0.027232,14,3,10,14
64,3,0,8225478,1572864,974,0,1017,0,1452,356913000,0.046536,14,3,20,24
64,4,0,19126796,1572864,8764,0,9009,0,13137,712916472,0.19647399999999998,14,3,35,125
32,5,0,5141181,196608,24206,0,24633,0,36300,171935424,0.07295399999999999,14,3,56,216
32,6,0,8758445,196608,57638,0,58319,0,86448,280769856,0.153174,14,3,84,343
