n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,6769376,1572864,58,0,49,0,120,221303256,0.066576,7,8,1,1
64,2,0,16923440,1572864,324,0,317,0,664,502749528,0.071154,7,8,1,1
64,3,0,33846880,1572864,1034,0,1017,0,2104,971826648,0.132554,7,8,1,1
64,4,0,59232040,1572864,8869,0,9009,0,17804,1675442328,0.44966,7,8,1,1
32,5,0,12675208,196608,24374,0,24633,0,48856,352752072,0.086542,7,8,1,1
32,6,0,19012812,196608,57890,0,58319,0,115944,526874664,0.198596,7,8,1,1
