n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1064895,262144,15148,0,19161,64,1372,42727128,0.045712,394,34,2,4
64,2,0,7989228,262144,68076,0,88597,216,6862,264748152,0.25076,409,15,3,6
64,3,0,26382135,262144,199412,0,232417,512,18490,853927384,0.54204,325,21,4,8
64,4,0,61852704,262144,434116,0,498261,1000,40558,1989985016,2.803,325,21,5,10
64,5,0,120010023,262144,827532,0,938017,1728,77818,3852510168,5.1344,325,21,6,12
64,6,0,206463180,262144,1437164,0,1612213,2744,135886,6621091960,9.1608,325,21,7,14
