n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,996075,1572864,36,0,36,0,24,57040480,0.0113398,156,1,4,1
64,2,0,7270935,1572864,6524,0,7126,0,3612,270551680,0.184508,169,3,10,14
64,3,0,23799888,1572864,92000,0,97375,0,62250,730161112,1.9539000000000002,169,3,20,125
64,4,0,55558191,1572864,391363,0,406112,0,294294,1586732224,12.5004,169,3,35,343
32,5,0,14615733,196608,1245132,0,1276479,0,992898,399184720,6.7074,169,3,56,729
32,6,0,24965559,196608,3279584,0,3336817,0,2707254,669600640,21.11,169,3,84,1331
