n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,25298673,8388608,29,0,30,0,76,876721544,0.26388,7,8,1,1
2048,2,0,50597346,8388608,95,0,90,0,208,1584552992,0.2665,7,8,1,1
1024,3,0,21183560,2097152,275,0,270,0,576,634769024,0.082764,7,8,1,1
1024,4,0,31775340,2097152,800,0,806,0,1636,930914784,0.10872200000000001,7,8,1,1
512,5,0,11230905,524288,1580,0,1590,0,3208,324330344,0.038768000000000004,7,8,1,1
512,6,0,14974540,524288,2833,0,2848,0,5728,428857648,0.042098000000000003,7,8,1,1
