n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,2753536,262144,477,0,831,0,129,76192168,0.019254399999999998,88,15,2,3
64,2,0,9293184,262144,1312,0,2104,0,381,233455016,0.022902,94,15,3,4
64,3,0,22028288,262144,3416,0,4595,0,1017,539703720,0.032146,88,21,4,5
64,4,0,43024000,262144,7008,0,8952,0,2307,1044600232,0.049558000000000005,88,21,5,6
64,5,0,74345472,262144,12986,0,15967,0,4593,1797806504,0.07319200000000001,88,21,6,7
64,6,0,118057856,262144,22244,0,26576,0,8289,2848984488,0.11210400000000001,88,21,7,8
