n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8447676,8388608,12,0,12,0,12,370988928,0.032418,33,1,3,1
2048,2,0,33706560,8388608,192,0,231,0,144,1178528736,0.071784,40,3,6,3
1024,3,0,19010440,2097152,576,0,654,0,480,582310080,0.058233999999999994,40,3,10,6
1024,4,0,33768992,2097152,1632,0,1788,0,1440,978458368,0.176068,40,3,15,12
512,5,0,13268746,524288,4600,0,4925,0,4200,373095360,0.09135,40,3,21,25
512,6,0,19094296,524288,8640,0,9108,0,8064,527588624,0.154346,40,3,28,36
