n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8473424,8388608,41,0,52,1,28,371812864,0.086768,29,1,3,1
2048,2,0,33775452,8388608,201,0,241,1,152,1180388128,0.127188,38,3,6,3
1024,3,0,19089944,2097152,585,0,664,1,488,584344576,0.058078,38,3,10,6
1024,4,0,33896416,2097152,1641,0,1798,1,1448,981642944,0.110856,38,3,15,12
512,5,0,13340080,524288,4609,0,4935,1,4208,374855648,0.05354,38,3,21,25
512,6,0,19192260,524288,8649,0,9118,1,8072,529988032,0.07435,38,3,28,36
