n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,354327,1572864,32,0,40,0,48,42173520,0.0024334,14,3,4,4
64,2,0,2532257,1572864,280,0,308,0,420,157358400,0.007270799999999999,14,3,10,14
64,3,0,8226789,1572864,960,0,1008,0,1440,356941728,0.030328,14,3,20,24
64,4,0,19130888,1572864,8750,0,9000,0,13125,713011944,0.23918,14,3,35,125
32,5,0,5137231,196608,24192,0,24624,0,36288,171838464,0.077152,14,3,56,216
32,6,0,8752215,196608,57624,0,58310,0,86436,280618176,0.18603799999999998,14,3,84,343
