n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8528350,8388608,105,0,141,3,180,373570496,0.21282,11,20,1,1
2048,2,0,33922420,8388608,555,0,651,3,792,1184354768,0.25773999999999997,11,20,1,1
1024,3,0,19201892,2097152,1659,0,1848,3,2368,587208992,0.091014,11,20,1,1
1024,4,0,34075926,2097152,4713,0,5106,3,6768,986128848,0.12975799999999998,11,20,1,1
512,5,0,13481462,524288,13341,0,14205,3,19284,378343712,0.068248,11,20,1,1
512,6,0,19386572,524288,25239,0,26490,3,36784,534746416,0.10283800000000001,11,20,1,1
