n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1064895,262144,2223,0,3483,27,162,34207712,0.0174594,235,34,2,3
64,2,0,7989228,262144,9444,0,13936,64,1353,200834072,0.039768,235,15,3,4
64,3,0,26382135,262144,26391,0,32695,125,3897,642870048,0.089638,193,21,4,5
64,4,0,61852704,262144,55476,0,66276,216,9057,1495163128,0.19756800000000002,193,21,5,6
64,5,0,120010023,262144,104007,0,121051,343,18201,2892429728,0.37429999999999997,193,21,6,7
64,6,0,206463180,262144,179220,0,204544,512,32985,4969386264,0.61646,193,21,7,8
