n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,354441,1572864,276,0,312,3,248,42178992,0.051566,11,20,1,1
64,2,0,2532141,1572864,3957,0,4419,3,4352,157358352,0.094888,11,20,1,1
64,3,0,8225478,1572864,12507,0,13269,3,14632,356913000,0.172458,11,20,1,1
64,4,0,19126796,1572864,109668,0,113718,3,131602,712916472,1.08256,11,20,1,1
32,5,0,5141181,196608,298311,0,305301,3,363400,171935424,0.37872,11,20,1,1
32,6,0,8758445,196608,704151,0,715248,3,865104,280769856,1.56654,11,20,1,1
