n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1063323,1572864,342,0,393,3,312,59192160,0.079242,11,20,1,1
64,2,0,7596423,1572864,2745,0,3021,3,3192,278901120,0.164606,11,20,1,1
64,3,0,24676434,1572864,16875,0,17901,3,20712,751735944,0.39922,11,20,1,1
64,4,0,57380388,1572864,48330,0,50061,3,61392,1631002680,1.08982,11,20,1,1
32,5,0,15423543,196608,392067,0,402093,3,505416,418712112,0.95534,11,20,1,1
32,6,0,26275335,196608,1003923,0,1021341,3,1308456,701175216,2.496,11,20,1,1
