n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8528350,8388608,29,0,47,1,28,373570496,0.089464,25,1,3,1
2048,2,0,33922420,8388608,173,0,217,1,152,1184354768,0.10467200000000002,30,3,6,3
1024,3,0,19201892,2097152,533,0,616,1,488,587208992,0.06323,30,3,10,6
1024,4,0,34075926,2097152,1541,0,1702,1,1448,986128848,0.09926399999999999,30,3,15,12
512,5,0,13481462,524288,4405,0,4735,1,4208,378343712,0.054492,30,3,21,25
512,6,0,19386572,524288,8357,0,8830,1,8072,534746416,0.08080000000000001,30,3,28,36
