n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8473534,8388608,12,0,12,0,12,371816384,0.0155122,29,1,3,1
2048,2,0,33775690,8388608,168,0,207,0,144,1180394720,0.049094,32,3,6,3
1024,3,0,19074602,2097152,528,0,606,0,480,583951952,0.025202000000000002,32,3,10,6
1024,4,0,33871836,2097152,1536,0,1692,0,1440,981028608,0.052571999999999994,32,3,15,12
512,5,0,13348774,524288,4400,0,4725,0,4200,375070400,0.029026000000000003,32,3,21,25
512,6,0,19204162,524288,8352,0,8820,0,8064,530279776,0.048368,32,3,28,36
