n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,8260608,262144,45516,0,57735,192,8100,274447272,0.13663,11,29,1,1
64,2,0,27879552,262144,204471,0,265791,648,38904,902564776,1.0663,11,29,1,1
64,3,0,66084864,262144,598812,0,697251,1536,103260,2125740968,1.46594,11,29,1,1
64,4,0,129072000,262144,1303473,0,1494783,3000,223848,4142328744,5.6698,11,29,1,1
64,5,0,223036416,262144,2484540,0,2814051,5184,425436,7150681000,11.1634,11,29,1,1
64,6,0,354173568,262144,4314579,0,4836639,8232,737112,11349150632,19.3082,11,29,1,1
