n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,50597346,8388608,41,0,52,1,28,1483889696,0.22972,29,1,3,1
2048,2,0,101194692,8388608,201,0,241,1,152,2798889296,0.24788000000000002,38,3,6,3
1024,3,0,42367120,2097152,585,0,664,1,488,1143174464,0.096344,38,3,10,6
1024,4,0,63550680,2097152,1641,0,1798,1,1448,1693522944,0.133334,38,3,15,12
512,5,0,22461810,524288,4609,0,4935,1,4208,593872064,0.077464,38,3,21,25
512,6,0,29949080,524288,8649,0,9118,1,8072,788246608,0.11139399999999999,38,3,28,36
