n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,410215,262144,3774,0,6588,81,712,19821392,0.049530000000000005,11,20,1,1
64,2,0,3011634,262144,12525,0,20400,192,2502,82697816,0.07334199999999999,11,20,1,1
64,3,0,9869441,262144,33285,0,45630,375,6614,247891392,0.141568,11,20,1,1
64,4,0,23048788,262144,68451,0,89460,648,14842,565195144,0.38784,11,20,1,1
64,5,0,44614827,262144,126441,0,159432,1029,29286,1084271024,0.67374,11,20,1,1
64,6,0,76632710,262144,215553,0,264384,1536,52478,1854780984,1.1781599999999999,11,20,1,1
