n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,1064115,262144,3123,0,4050,27,48,34182752,0.006402199999999999,253,34,2,3
64,2,0,7987680,262144,11712,0,15664,64,1296,200790680,0.020832,244,15,3,4
64,3,0,26382135,262144,30855,0,36070,125,3840,642863808,0.057174,202,21,4,5
64,4,0,61858872,262144,63216,0,72108,216,9000,1495304920,0.118306,202,21,5,6
64,5,0,120029283,262144,116319,0,130312,343,18144,2892885728,0.24367999999999998,202,21,6,7
64,6,0,206504760,262144,197616,0,218368,512,32928,4970377944,0.43986000000000003,202,21,7,8
