n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
32,1,0,53248,32768,18863,0,34189,609,6275,3045336,0.0199038,11,31,1,1
32,2,0,425984,32768,229440,0,399094,7875,136646,12019672,0.027306000000000004,11,31,1,1
32,3,0,1437696,32768,1684720,0,2569242,51945,1282311,36378584,0.059936,11,31,1,1
32,4,0,3407872,32768,8597632,0,11357652,222099,7071714,83814360,0.1478,11,31,1,1
32,5,0,6656000,32768,30786874,0,38819026,719361,27851801,162019288,0.28759999999999997,11,31,1,1
