n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,4241430,4194304,66,0,129,0,36,169689968,0.0149188,20,7,2,3
2048,2,0,16928804,4194304,172,0,280,0,108,474260672,0.028648,21,7,3,4
2048,3,0,38062130,4194304,405,0,525,0,240,981517840,0.051537999999999994,22,10,4,5
2048,4,0,67641408,4194304,720,0,888,0,450,1691494240,0.083994,22,10,5,6
1024,5,0,26618958,1048576,1169,0,1393,0,756,656173232,0.040054,22,10,6,7
1024,6,0,38320220,1048576,1776,0,2064,0,1176,937056768,0.058255999999999995,22,10,7,8
