n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,4388958,4194304,86,0,129,0,108,175591088,0.141042,7,8,1,1
2048,2,0,17420444,4194304,207,0,280,0,244,488420480,0.14316800000000002,7,8,1,1
2048,3,0,39094490,4194304,461,0,525,0,476,1008654928,0.16015600000000002,7,8,1,1
2048,4,0,69411096,4194304,803,0,888,0,828,1736327200,0.22952,7,8,1,1
1024,5,0,27970902,1048576,1285,0,1393,0,1324,689800688,0.07715,7,8,1,1
1024,6,0,40237460,1048576,1931,0,2064,0,1988,984251328,0.094806,7,8,1,1
