n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8581212,4194304,197,0,340,9,44,274631552,0.074086,59,12,2,3
2048,2,0,34185368,4194304,728,0,1152,16,302,889205024,0.08092200000000001,57,7,3,4
2048,3,0,76812500,4194304,1693,0,2180,25,654,1912313536,0.16288,57,10,4,5
2048,4,0,136462608,4194304,2996,0,3696,36,1214,3343989856,0.41041999999999995,57,10,5,6
1024,5,0,54139212,1048576,4845,0,5796,49,2030,1317052928,0.163516,57,10,6,7
1024,6,0,77918600,1048576,7336,0,8576,64,3150,1887811488,0.22988,57,10,7,8
