n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8581212,4194304,1104,0,1552,16,144,274631808,0.06867799999999999,108,12,2,4
2048,2,0,34185368,4194304,3660,0,5160,36,936,889205280,0.27968000000000004,108,7,3,6
2048,3,0,76812500,4194304,8416,0,10304,64,2048,1912313792,0.4655,108,10,4,8
2048,4,0,136462608,4194304,14940,0,17880,100,3800,3343990112,1.86358,108,10,5,10
1024,5,0,54139212,1048576,24096,0,28320,144,6336,1317053184,0.74634,108,10,6,12
1024,6,0,77918600,1048576,36316,0,42056,196,9800,1887811744,1.13144,108,10,7,14
