n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,410215,262144,1250,0,2196,27,116,19821392,0.016642999999999998,154,40,2,3
64,2,0,3011634,262144,4148,0,6800,64,489,82697816,0.024934,142,15,3,4
64,3,0,9869441,262144,11031,0,15210,125,1337,247891392,0.042137999999999995,130,21,4,5
64,4,0,23048788,262144,22692,0,29820,216,3057,565195144,0.077348,130,21,5,6
64,5,0,44614827,262144,41931,0,53144,343,6105,1084271024,0.12790600000000002,130,21,6,7
64,6,0,76632710,262144,71508,0,88128,512,11033,1854780984,0.21858,130,21,7,8
