n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,332025,1572864,52,0,52,0,24,41103024,0.002578,46,5,4,4
64,2,0,2423645,1572864,1288,0,1442,0,840,154216464,0.022142000000000002,44,3,10,14
64,3,0,7933296,1572864,4128,0,4392,0,2880,349362648,0.062016,44,3,20,24
64,4,0,18519397,1572864,36500,0,37875,0,26250,697800912,0.46796,44,3,35,125
32,5,0,4871911,196608,99360,0,101736,0,72576,165332736,0.164956,44,3,56,216
32,6,0,8321853,196608,234612,0,238385,0,172872,270151440,0.391,44,3,84,343
