n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,8524660,8388608,12,0,12,0,12,441650208,0.018185,70,1,3,1
2048,2,0,33912428,8388608,780,0,918,0,480,1455385376,0.165944,75,3,6,6
1024,3,0,19209962,2097152,4450,0,5025,0,3200,741095808,0.068784,75,3,10,25
1024,4,0,34088834,2097152,11662,0,12789,0,9212,1259162752,0.171608,75,3,15,49
512,5,0,13496466,524288,25110,0,26973,0,21060,486687024,0.20716,75,3,21,81
512,6,0,19407024,524288,47674,0,50457,0,41624,690504944,0.34152,75,3,28,121
