n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,4236767,8388608,27,0,30,0,15,270133976,0.019311000000000002,27,4,3,3
2048,2,0,16887845,8388608,240,0,288,0,180,775086440,0.117034,26,3,6,6
1024,3,0,9537301,2097152,768,0,864,0,600,355056728,0.058848,26,3,10,12
1024,4,0,16935918,2097152,2350,0,2550,0,1875,574566576,0.18175,26,3,15,25
512,5,0,6674387,524288,4680,0,4968,0,3780,214885112,0.054869999999999995,26,3,21,36
512,6,0,9602081,524288,8428,0,8820,0,6860,299829832,0.079124,26,3,28,49
