n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
2048,1,0,4388958,4194304,150,0,287,9,20,140479424,0.010567400000000001,48,16,2,3
2048,2,0,17420444,4194304,456,0,768,16,144,349056928,0.019305,41,7,3,4
2048,3,0,39094490,4194304,1065,0,1435,25,320,695899008,0.056572,43,10,4,5
2048,4,0,69411096,4194304,1884,0,2412,36,600,1181038432,0.092528,43,10,5,6
1024,5,0,27970902,1048576,3045,0,3759,49,1008,466033472,0.033818,43,10,6,7
1024,6,0,40237460,1048576,4608,0,5536,64,1568,662351648,0.04894,43,10,7,8
