n,p,f,dof,cell,add,sub,mul,div,mem,byte,time,ninst,nloops,extend_dof,extend_quad
64,1,0,408005,262144,441,0,831,0,72,19715312,0.00160556,88,15,2,3
64,2,0,3000024,262144,1276,0,2104,0,324,82366136,0.0039664,94,15,3,4
64,3,0,9837017,262144,3380,0,4595,0,960,247060176,0.0134434,88,21,4,5
64,4,0,22979912,262144,6972,0,8952,0,2250,563489080,0.029449999999999997,88,21,5,6
64,5,0,44489637,262144,12950,0,15967,0,4536,1081213424,0.053826,88,21,6,7
64,6,0,76427120,262144,22208,0,26576,0,8232,1849793784,0.08908,88,21,7,8
